Name,Web of Science Documents,Publication Year,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact
10 Arts & Humanities,7,2012,72,9,100.0,2.0745142857142858
10 Arts & Humanities,14,2013,24,9,50.0,0.37598571428571426
10 Arts & Humanities,16,2014,35,9,56.25,0.5324249999999999
10 Arts & Humanities,15,2015,68,9,73.33,1.2585266666666668
10 Arts & Humanities,15,2016,70,9,66.67,1.49306
10 Arts & Humanities,25,2017,71,9,72.0,1.07748
10 Arts & Humanities,15,2018,33,9,33.33,0.9425066666666667
10 Arts & Humanities,18,2019,60,9,44.44,1.7275277777777778
10 Arts & Humanities,21,2020,14,9,28.57,0.42766666666666675
10 Arts & Humanities,14,2021,11,9,42.86,0.7324142857142858
7 Engineering & Materials Science,1,2010,11,10,100.0,0.3997
7 Engineering & Materials Science,2,2012,39,10,100.0,0.7767000000000001
7 Engineering & Materials Science,2,2013,79,10,100.0,1.6228000000000002
7 Engineering & Materials Science,1,2014,29,10,100.0,1.2441
7 Engineering & Materials Science,1,2015,15,10,100.0,0.6653
7 Engineering & Materials Science,1,2019,10,10,100.0,0.6593
7 Engineering & Materials Science,2,2020,203,10,100.0,8.96495
7 Engineering & Materials Science,1,2021,4,10,100.0,0.46730000000000005

Filter Summary:
Dataset: InCites Dataset
Schema:  Citation Topics - Macro
"Time Period:  [2010, 2021]"
Include Early Access documents:  true
Funding Data Source:  All Sources
Domestic/International Collaboration:  All
Organization Name:  [Universidad Pablo de Olavide]

"Exported date  Feb 7, 2024. "
"InCites dataset updated  2024-01-25. Includes Web of Science content indexed through 2023-12-31. "

