Colectivo,Fecha de envío,Id,Indique si es hombre o mujer,Indique su franja de edad,Preguntas,Preguntas (grupo),respuestas,respuestas (grupo),respuestas (grupo) 1,count_id,respuestas_count,Value
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,Las zonas verdes del campus presentan un aspecto cuidado y son adecuados para su disfrute,OTROS,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,Los servicios de cafetería y restauración resultan suficientes y con una adecuada relación calidad/precio,OTROS,7,Positivo,De acuerdo,1,1,7
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,Los servicios de conserjerias realizan su cometido de manera fiable y ágil.,OTROS,8,Positivo,De acuerdo,1,1,8
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,Percibo que el personal conoce mis intereses y necesidades,EXPECTATIVAS,7,Positivo,De acuerdo,1,1,7
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,Por favor seleccione su medio preferente para recibir los servicios que demanda de Área/Servicio/Unidad,Por favor seleccione su medio preferente para recibir los servicios que demanda de Área/Servicio/Unidad,Presencial,Presencial,Presencial,1,1,
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,Recibo respuesta rápida a mis necesidades y problemas,EXPECTATIVAS,7,Positivo,De acuerdo,1,1,7
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,Satisfacción general,GENERAL,8,Positivo,De acuerdo,1,1,8
Grado,2022-01-04 14:16:35,R1,Masculino,Entre 18 y 25 años,"Siempre que lo he requerido, se han solucionado satisfactoriamente mis demandas",EXPECTATIVAS,6,Neutral,Neutral,1,1,6
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,"El personal muestra su disposición a ayudar, sin eludir su responsabilidad",SERVICIOS_GRADO DE ACUERDO,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,El servicio que he recibido de esta área/servicio/unidad ha resultado correcto y fiable,SERVICIOS_GRADO DE ACUERDO,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,El trato es cortés y amable siempre,SERVICIOS_GRADO DE ACUERDO,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,En general los edificios y espacios de la Universidad están limpios y resultan confortables para la utilidad que tienen,OTROS,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,"Esporádicamente, menos de 5 veces.","Esporádicamente, menos de 5 veces.","Esporádicamente, menos de 5 veces.",1,1,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,Es fácil acceder a los recursos de información que la Biblioteca ofrece,PERCEPCIÓN,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,Informa de manera clara y comprensible,SERVICIOS_GRADO DE ACUERDO,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,La colección que pone a disposición la Biblioteca cubre mis necesidades de información,PERCEPCIÓN,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,La información disponible en la página web del Área/Servicio/Unidad es clara y útil para mis necesidades,SERVICIOS_GRADO DE ACUERDO,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,La opinión de otros usuarios sobre esta área/Servicio/Unidad es excelente,EXPECTATIVAS,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,Las herramientas para la búsqueda y recuperación de la información son fáciles de usar,PERCEPCIÓN,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,"Las instalaciones son fácilmente accesibles, y el mobiliario y equipamiento adecuada para mi comodidad y la del personal",SERVICIOS_GRADO DE ACUERDO,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,Las zonas verdes del campus presentan un aspecto cuidado y son adecuados para su disfrute,OTROS,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,Los servicios de cafetería y restauración resultan suficientes y con una adecuada relación calidad/precio,OTROS,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,Los servicios de conserjerias realizan su cometido de manera fiable y ágil.,OTROS,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,Percibo que el personal conoce mis intereses y necesidades,EXPECTATIVAS,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,Por favor seleccione su medio preferente para recibir los servicios que demanda de Área/Servicio/Unidad,Por favor seleccione su medio preferente para recibir los servicios que demanda de Área/Servicio/Unidad,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,Recibo respuesta rápida a mis necesidades y problemas,EXPECTATIVAS,,,,1,0,
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,Satisfacción general,GENERAL,10,Positivo,Muy de acuerdo,1,1,10
Egresado/a,2022-01-10 18:45:48,R2,Femenino,Entre 26 y 40 años,"Siempre que lo he requerido, se han solucionado satisfactoriamente mis demandas",EXPECTATIVAS,,,,1,0,
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,"El personal muestra su disposición a ayudar, sin eludir su responsabilidad",SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,El servicio que he recibido de esta área/servicio/unidad ha resultado correcto y fiable,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,El trato es cortés y amable siempre,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,En general los edificios y espacios de la Universidad están limpios y resultan confortables para la utilidad que tienen,OTROS,8,Positivo,De acuerdo,1,1,8
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,"Esporádicamente, menos de 5 veces.","Esporádicamente, menos de 5 veces.","Esporádicamente, menos de 5 veces.",1,1,
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,Es fácil acceder a los recursos de información que la Biblioteca ofrece,PERCEPCIÓN,,,,1,0,
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,Informa de manera clara y comprensible,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,La colección que pone a disposición la Biblioteca cubre mis necesidades de información,PERCEPCIÓN,4,Negativo,En desacuerdo ,1,1,4
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,La información disponible en la página web del Área/Servicio/Unidad es clara y útil para mis necesidades,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,La opinión de otros usuarios sobre esta área/Servicio/Unidad es excelente,EXPECTATIVAS,4,Negativo,En desacuerdo ,1,1,4
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,Las herramientas para la búsqueda y recuperación de la información son fáciles de usar,PERCEPCIÓN,9,Positivo,Muy de acuerdo,1,1,9
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,"Las instalaciones son fácilmente accesibles, y el mobiliario y equipamiento adecuada para mi comodidad y la del personal",SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,Las zonas verdes del campus presentan un aspecto cuidado y son adecuados para su disfrute,OTROS,10,Positivo,Muy de acuerdo,1,1,10
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,Los servicios de cafetería y restauración resultan suficientes y con una adecuada relación calidad/precio,OTROS,8,Positivo,De acuerdo,1,1,8
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,Los servicios de conserjerias realizan su cometido de manera fiable y ágil.,OTROS,9,Positivo,Muy de acuerdo,1,1,9
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,Percibo que el personal conoce mis intereses y necesidades,EXPECTATIVAS,8,Positivo,De acuerdo,1,1,8
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,Por favor seleccione su medio preferente para recibir los servicios que demanda de Área/Servicio/Unidad,Por favor seleccione su medio preferente para recibir los servicios que demanda de Área/Servicio/Unidad,Telemática (tecnología informática),Telemática (tecnología informática),Telemática (tecnología informática),1,1,
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,Recibo respuesta rápida a mis necesidades y problemas,EXPECTATIVAS,8,Positivo,De acuerdo,1,1,8
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,Satisfacción general,GENERAL,8,Positivo,De acuerdo,1,1,8
Máster,2022-02-24 21:14:48,R3,Femenino,Entre 26 y 40 años,"Siempre que lo he requerido, se han solucionado satisfactoriamente mis demandas",EXPECTATIVAS,,,,1,0,
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,"El personal muestra su disposición a ayudar, sin eludir su responsabilidad",SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,El servicio que he recibido de esta área/servicio/unidad ha resultado correcto y fiable,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,El trato es cortés y amable siempre,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,En general los edificios y espacios de la Universidad están limpios y resultan confortables para la utilidad que tienen,OTROS,7,Positivo,De acuerdo,1,1,7
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,"Esporádicamente, menos de 5 veces.","Esporádicamente, menos de 5 veces.","Esporádicamente, menos de 5 veces.",1,1,
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,Es fácil acceder a los recursos de información que la Biblioteca ofrece,PERCEPCIÓN,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,Informa de manera clara y comprensible,SERVICIOS_GRADO DE ACUERDO,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,La colección que pone a disposición la Biblioteca cubre mis necesidades de información,PERCEPCIÓN,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,La información disponible en la página web del Área/Servicio/Unidad es clara y útil para mis necesidades,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,La opinión de otros usuarios sobre esta área/Servicio/Unidad es excelente,EXPECTATIVAS,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,Las herramientas para la búsqueda y recuperación de la información son fáciles de usar,PERCEPCIÓN,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,"Las instalaciones son fácilmente accesibles, y el mobiliario y equipamiento adecuada para mi comodidad y la del personal",SERVICIOS_GRADO DE ACUERDO,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,Las zonas verdes del campus presentan un aspecto cuidado y son adecuados para su disfrute,OTROS,8,Positivo,De acuerdo,1,1,8
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,Los servicios de cafetería y restauración resultan suficientes y con una adecuada relación calidad/precio,OTROS,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,Los servicios de conserjerias realizan su cometido de manera fiable y ágil.,OTROS,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,Percibo que el personal conoce mis intereses y necesidades,EXPECTATIVAS,8,Positivo,De acuerdo,1,1,8
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,Por favor seleccione su medio preferente para recibir los servicios que demanda de Área/Servicio/Unidad,Por favor seleccione su medio preferente para recibir los servicios que demanda de Área/Servicio/Unidad,Presencial,Presencial,Presencial,1,1,
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,Recibo respuesta rápida a mis necesidades y problemas,EXPECTATIVAS,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,Satisfacción general,GENERAL,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 10:38:38,R4,Femenino,Entre 18 y 25 años,"Siempre que lo he requerido, se han solucionado satisfactoriamente mis demandas",EXPECTATIVAS,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,"El personal muestra su disposición a ayudar, sin eludir su responsabilidad",SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,El servicio que he recibido de esta área/servicio/unidad ha resultado correcto y fiable,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,El trato es cortés y amable siempre,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,En general los edificios y espacios de la Universidad están limpios y resultan confortables para la utilidad que tienen,OTROS,8,Positivo,De acuerdo,1,1,8
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,"Frecuentemente, más de 5 veces.","Frecuentemente, más de 5 veces.","Frecuentemente, más de 5 veces.",1,1,
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,Es fácil acceder a los recursos de información que la Biblioteca ofrece,PERCEPCIÓN,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,Informa de manera clara y comprensible,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,La colección que pone a disposición la Biblioteca cubre mis necesidades de información,PERCEPCIÓN,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,La información disponible en la página web del Área/Servicio/Unidad es clara y útil para mis necesidades,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,La opinión de otros usuarios sobre esta área/Servicio/Unidad es excelente,EXPECTATIVAS,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,Las herramientas para la búsqueda y recuperación de la información son fáciles de usar,PERCEPCIÓN,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,"Las instalaciones son fácilmente accesibles, y el mobiliario y equipamiento adecuada para mi comodidad y la del personal",SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,Las zonas verdes del campus presentan un aspecto cuidado y son adecuados para su disfrute,OTROS,8,Positivo,De acuerdo,1,1,8
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,Los servicios de cafetería y restauración resultan suficientes y con una adecuada relación calidad/precio,OTROS,8,Positivo,De acuerdo,1,1,8
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,Los servicios de conserjerias realizan su cometido de manera fiable y ágil.,OTROS,8,Positivo,De acuerdo,1,1,8
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,Percibo que el personal conoce mis intereses y necesidades,EXPECTATIVAS,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,Por favor seleccione su medio preferente para recibir los servicios que demanda de Área/Servicio/Unidad,Por favor seleccione su medio preferente para recibir los servicios que demanda de Área/Servicio/Unidad,Telemática (tecnología informática),Telemática (tecnología informática),Telemática (tecnología informática),1,1,
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,Recibo respuesta rápida a mis necesidades y problemas,EXPECTATIVAS,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,Satisfacción general,GENERAL,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:00:10,R5,Masculino,Entre 18 y 25 años,"Siempre que lo he requerido, se han solucionado satisfactoriamente mis demandas",EXPECTATIVAS,10,Positivo,Muy de acuerdo,1,1,10
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,"El personal muestra su disposición a ayudar, sin eludir su responsabilidad",SERVICIOS_GRADO DE ACUERDO,9,Positivo,Muy de acuerdo,1,1,9
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,El servicio que he recibido de esta área/servicio/unidad ha resultado correcto y fiable,SERVICIOS_GRADO DE ACUERDO,8,Positivo,De acuerdo,1,1,8
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,El trato es cortés y amable siempre,SERVICIOS_GRADO DE ACUERDO,9,Positivo,Muy de acuerdo,1,1,9
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,En general los edificios y espacios de la Universidad están limpios y resultan confortables para la utilidad que tienen,OTROS,8,Positivo,De acuerdo,1,1,8
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,"Esporádicamente, menos de 5 veces.","Esporádicamente, menos de 5 veces.","Esporádicamente, menos de 5 veces.",1,1,
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,Es fácil acceder a los recursos de información que la Biblioteca ofrece,PERCEPCIÓN,7,Positivo,De acuerdo,1,1,7
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,Informa de manera clara y comprensible,SERVICIOS_GRADO DE ACUERDO,9,Positivo,Muy de acuerdo,1,1,9
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,La colección que pone a disposición la Biblioteca cubre mis necesidades de información,PERCEPCIÓN,7,Positivo,De acuerdo,1,1,7
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,La información disponible en la página web del Área/Servicio/Unidad es clara y útil para mis necesidades,SERVICIOS_GRADO DE ACUERDO,9,Positivo,Muy de acuerdo,1,1,9
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,La opinión de otros usuarios sobre esta área/Servicio/Unidad es excelente,EXPECTATIVAS,8,Positivo,De acuerdo,1,1,8
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,Las herramientas para la búsqueda y recuperación de la información son fáciles de usar,PERCEPCIÓN,7,Positivo,De acuerdo,1,1,7
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,"Las instalaciones son fácilmente accesibles, y el mobiliario y equipamiento adecuada para mi comodidad y la del personal",SERVICIOS_GRADO DE ACUERDO,9,Positivo,Muy de acuerdo,1,1,9
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,Las zonas verdes del campus presentan un aspecto cuidado y son adecuados para su disfrute,OTROS,7,Positivo,De acuerdo,1,1,7
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,Los servicios de cafetería y restauración resultan suficientes y con una adecuada relación calidad/precio,OTROS,6,Neutral,Neutral,1,1,6
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,Los servicios de conserjerias realizan su cometido de manera fiable y ágil.,OTROS,8,Positivo,De acuerdo,1,1,8
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,Percibo que el personal conoce mis intereses y necesidades,EXPECTATIVAS,9,Positivo,Muy de acuerdo,1,1,9
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,Por favor seleccione su medio preferente para recibir los servicios que demanda de Área/Servicio/Unidad,Por favor seleccione su medio preferente para recibir los servicios que demanda de Área/Servicio/Unidad,Presencial,Presencial,Presencial,1,1,
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,Recibo respuesta rápida a mis necesidades y problemas,EXPECTATIVAS,9,Positivo,Muy de acuerdo,1,1,9
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,Satisfacción general,GENERAL,8,Positivo,De acuerdo,1,1,8
PDI,2022-03-04 11:07:17,R6,Masculino,Entre 40 y 54 años,"Siempre que lo he requerido, se han solucionado satisfactoriamente mis demandas",EXPECTATIVAS,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 11:20:28,R7,Femenino,Entre 18 y 25 años,"El personal muestra su disposición a ayudar, sin eludir su responsabilidad",SERVICIOS_GRADO DE ACUERDO,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 11:20:28,R7,Femenino,Entre 18 y 25 años,El servicio que he recibido de esta área/servicio/unidad ha resultado correcto y fiable,SERVICIOS_GRADO DE ACUERDO,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:20:28,R7,Femenino,Entre 18 y 25 años,El trato es cortés y amable siempre,SERVICIOS_GRADO DE ACUERDO,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 11:20:28,R7,Femenino,Entre 18 y 25 años,En general los edificios y espacios de la Universidad están limpios y resultan confortables para la utilidad que tienen,OTROS,6,Neutral,Neutral,1,1,6
Grado,2022-03-04 11:20:28,R7,Femenino,Entre 18 y 25 años,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,En los últimos 6 meses he requerido atención por distintos motivos de esta área/Servicio/Unidad:,"Esporádicamente, menos de 5 veces.","Esporádicamente, menos de 5 veces.","Esporádicamente, menos de 5 veces.",1,1,
Grado,2022-03-04 11:20:28,R7,Femenino,Entre 18 y 25 años,Es fácil acceder a los recursos de información que la Biblioteca ofrece,PERCEPCIÓN,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 11:20:28,R7,Femenino,Entre 18 y 25 años,Informa de manera clara y comprensible,SERVICIOS_GRADO DE ACUERDO,8,Positivo,De acuerdo,1,1,8
Grado,2022-03-04 11:20:28,R7,Femenino,Entre 18 y 25 años,La colección que pone a disposición la Biblioteca cubre mis necesidades de información,PERCEPCIÓN,9,Positivo,Muy de acuerdo,1,1,9
Grado,2022-03-04 11:20:28,R7,Femenino,Entre 18 y 25 años,La información disponible en la página web del Área/Servicio/Unidad es clara y útil para mis necesidades,SERVICIOS_GRADO DE ACUERDO,8,Positivo,De acuerdo,1,1,8
Grado,2022-03-04 11:20:28,R7,Femenino,Entre 18 y 25 años,La opinión de otros usuarios sobre esta área/Servicio/Unidad es excelente,EXPECTATIVAS,10,Positivo,Muy de acuerdo,1,1,10
Grado,2022-03-04 11:20:28,R7,Femenino,Entre 18 y 25 años,Las herramientas para la búsqueda y recuperación de la información son fáciles de usar,PERCEPCIÓN,8,Positivo,De acuerdo,1,1,8
